Maximum Depth,Learning Rate,Number of Trees,Number of Iterations,Positive Class Weight,Minimum Leaf,Validation PR AUC
6,0.055611825333080706,500,1496,14,13,0.591010554033852
5,0.38455241646418475,383,1891,15,50,0.6620836185091147
15,0.15282417366575365,393,1907,15,13,0.6864558449289926
8,0.13529293099018305,439,1663,13,35,0.6755662032299229
8,0.18825764603313766,274,1348,18,49,0.6760251562501356
8,0.31009241387664405,383,1691,10,22,0.6807491652988787
8,0.4251802046734531,182,1889,14,11,0.6828599805790557
8,0.08603984290257224,141,1467,17,14,0.6645946319342374
8,0.38271539917284375,109,1417,16,20,0.6808523850963749
14,0.050654013301438594,389,1095,12,40,0.6699553680609708
15,0.19212925657268914,277,1005,20,24,0.6812601232058494
12,0.11835429229141861,192,1983,12,10,0.6827826348180713
11,0.24796918991377528,220,1782,15,30,0.6838182664330041
12,0.21774254650093228,320,1712,18,30,0.6812437731046826
12,0.24256326907938613,231,1794,16,28,0.6839888932422548
14,0.09287840423827019,318,1992,20,41,0.6827736523170408
13,0.2744548877265435,237,1609,17,17,0.6802496615155339
10,0.15251350334147165,470,1800,16,26,0.6823934307276041
15,0.10641106903520191,345,1214,18,18,0.6836925596355412
10,0.07779777205164569,420,1591,10,29,0.6761456145648662
