Number of Trees,Maximum Depth,Maximum Features,Minimum Split,Minimum Leaf,Validation PR AUC
190,76,0.06764738964867319,6,4,0.5422647654511246
173,92,0.1775854975608787,7,1,0.540222665495841
173,62,0.22832825255143102,7,4,0.4917648130206467
190,70,0.20643859460842134,7,2,0.5170557144454209
178,35,0.11398224777376574,10,5,0.5067575633038043
134,25,0.17910376347204915,2,4,0.4134459478959072
184,76,0.11692122876886135,9,3,0.5381005413506003
170,76,0.08659504324376502,4,2,0.5853850975387687
126,78,0.22970338808149487,2,5,0.47561333425036867
172,29,0.06595121808520824,3,2,0.5348852595071788
183,78,0.1416353279796576,7,5,0.49741685368675254
147,89,0.21557157393103038,2,5,0.47847040342522823
197,45,0.23878170360904677,3,5,0.47232563914641296
146,46,0.1123875578404977,4,1,0.5674367846338619
150,100,0.05351956535347893,4,3,0.559618472785203
102,44,0.10913204005429368,4,1,0.5652641263840879
106,43,0.0947212645493336,4,1,0.5709358954634127
162,46,0.0937951155650712,5,1,0.5776146274206794
164,53,0.0913876272816875,5,2,0.5711556131708482
105,54,0.09258785698235464,5,2,0.5629680271205546
